sggNm,전세_평균보증금,전세_평균전용면적,전세_거래건수,월세_평균보증금,월세_평균월세액,월세_평균전용면적,월세_거래건수,전체_거래건수,월세비중(%)
아산시,15533.333333333334,47.70333333333334,3.0,814.2857142857143,49.57142857142857,29.51142857142857,7.0,10.0,70.0
안동시,0.0,0.0,0.0,350.0,39.2,26.871,10.0,10.0,100.0
안산시 단원구,0.0,0.0,0.0,450.0,44.1,23.065,10.0,10.0,100.0
안산시 상록구,18300.0,53.574,5.0,1200.0,54.0,35.774,5.0,10.0,50.0
안성시,2500.0,15.0,1.0,305.55555555555554,34.666666666666664,18.725555555555555,9.0,10.0,90.0
안양시 동안구,30040.4,58.848,5.0,3600.0,77.8,46.704,5.0,10.0,50.0
안양시 만안구,16750.0,32.519999999999996,4.0,3250.0,54.5,26.853333333333335,6.0,10.0,60.0
양산시,8062.5,46.7075,4.0,2166.6666666666665,47.833333333333336,33.16166666666667,6.0,10.0,60.0
양주시,11833.333333333334,28.51,3.0,100.0,66.0,18.61,1.0,4.0,25.0
양천구,52666.666666666664,69.57333333333334,3.0,8142.857142857143,142.14285714285714,62.87,7.0,10.0,70.0
양평군,13000.0,76.59,1.0,753.3333333333334,58.44444444444444,54.47222222222222,9.0,10.0,90.0
여수시,0.0,0.0,0.0,520.0,52.9,35.705,10.0,10.0,100.0
여주시,0.0,0.0,0.0,750.0,75.0,66.815,2.0,2.0,100.0
연수구,17800.0,52.4125,8.0,1600.0,92.5,57.415,2.0,10.0,20.0
연제구,0.0,0.0,0.0,1360.0,36.4,23.562,10.0,10.0,100.0
영광군,0.0,0.0,0.0,500.0,46.0,28.02,1.0,1.0,100.0
영도구,20000.0,58.44,1.0,777.7777777777778,42.22222222222222,25.757777777777775,9.0,10.0,90.0
영등포구,32762.0,51.03,5.0,18300.0,37.4,32.512,5.0,10.0,50.0
영주시,20000.0,71.96,1.0,0.0,0.0,0.0,0.0,1.0,0.0
예산군,0.0,0.0,0.0,380.0,43.8,27.444,5.0,5.0,100.0
예천군,0.0,0.0,0.0,4000.0,25.0,24.56,1.0,1.0,100.0
오산시,15125.0,40.075,4.0,916.6666666666666,49.0,21.25,6.0,10.0,60.0
완도군,0.0,0.0,0.0,300.0,40.0,29.25,1.0,1.0,100.0
완주군,17333.333333333332,75.08999999999999,3.0,3125.0,56.25,47.3625,4.0,7.0,57.14285714285714
용산구,43000.0,39.06333333333333,3.0,4471.428571428572,102.71428571428571,24.287142857142857,7.0,10.0,70.0
용인시 기흥구,28333.333333333332,76.10333333333334,3.0,2542.8571428571427,68.85714285714286,34.568571428571424,7.0,10.0,70.0
용인시 수지구,25000.0,51.23,1.0,1273.7777777777778,61.333333333333336,22.19666666666667,9.0,10.0,90.0
용인시 처인구,15700.0,33.82,1.0,1388.888888888889,51.44444444444444,22.112222222222222,9.0,10.0,90.0
울주군,7750.0,22.91,2.0,550.0,42.875,34.644999999999996,8.0,10.0,80.0
울진군,0.0,0.0,0.0,500.0,45.0,42.42,1.0,1.0,100.0
원주시,9566.666666666666,29.72666666666667,3.0,428.57142857142856,41.285714285714285,27.278571428571432,7.0,10.0,70.0
유성구,0.0,0.0,0.0,1810.0,44.2,33.796,10.0,10.0,100.0
은평구,22000.0,44.7,1.0,3666.6666666666665,50.44444444444444,21.813333333333333,9.0,10.0,90.0
음성군,8500.0,27.92,1.0,1328.5714285714287,45.57142857142857,24.33142857142857,7.0,8.0,87.5
의왕시,7200.0,22.855,2.0,1987.5,42.0,25.1225,8.0,10.0,80.0
의정부시,21900.0,71.83,1.0,991.1111111111111,57.666666666666664,40.34777777777778,9.0,10.0,90.0
이천시,11900.0,30.205000000000002,2.0,537.5,54.5,28.041249999999998,8.0,10.0,80.0
익산시,0.0,0.0,0.0,1500.0,44.666666666666664,26.163333333333338,3.0,3.0,100.0
장성군,0.0,0.0,0.0,1000.0,30.0,62.41,1.0,1.0,100.0
전주시 덕진구,10000.0,22.57,1.0,1333.3333333333333,49.22222222222222,32.92333333333333,9.0,10.0,90.0
전주시 완산구,22780.0,72.022,5.0,3800.0,39.0,35.138,5.0,10.0,50.0
제주시,11500.0,45.675,2.0,350.0,47.625,35.16375,8.0,10.0,80.0
종로구,20275.0,21.7175,4.0,2977.6666666666665,52.0,24.906666666666666,6.0,10.0,60.0
중구,14506.923076923076,34.43,13.0,2359.2105263157896,55.973684210526315,30.28842105263158,38.0,51.0,74.50980392156863
중랑구,24625.0,54.7875,4.0,2666.6666666666665,67.0,35.29333333333333,6.0,10.0,60.0
진주시,15500.0,54.785,2.0,1250.0,46.75,25.58375,8.0,10.0,80.0
창녕군,0.0,0.0,0.0,300.0,50.0,60.019999999999996,2.0,2.0,100.0
창원시 마산합포구,9000.0,21.52,1.0,1266.6666666666667,29.0,31.692222222222224,9.0,10.0,90.0
창원시 마산회원구,11750.0,50.93,4.0,1250.0,45.0,37.61833333333333,6.0,10.0,60.0
창원시 성산구,0.0,0.0,0.0,880.0,47.2,29.395999999999997,10.0,10.0,100.0
창원시 의창구,17800.0,44.03,1.0,611.1111111111111,68.88888888888889,30.895555555555557,9.0,10.0,90.0
창원시 진해구,0.0,0.0,0.0,610.0,43.7,47.138999999999996,10.0,10.0,100.0
천안시 동남구,5750.0,27.77,2.0,500.0,47.375,31.185,8.0,10.0,80.0
천안시 서북구,19166.666666666668,67.19555555555556,9.0,2000.0,100.0,84.95,1.0,10.0,10.0
청송군,7000.0,25.91,1.0,1833.3333333333333,43.666666666666664,32.99666666666666,3.0,4.0,75.0
청주시 상당구,9000.0,23.67,2.0,500.0,57.5,36.7525,4.0,6.0,66.66666666666666
청주시 서원구,12000.0,54.70333333333334,3.0,1057.142857142857,33.57142857142857,39.99857142857143,7.0,10.0,70.0
청주시 청원구,14500.0,47.07,1.0,888.8888888888889,55.0,41.05222222222222,9.0,10.0,90.0
청주시 흥덕구,12450.0,41.8375,4.0,2750.0,42.166666666666664,33.59166666666667,6.0,10.0,60.0
춘천시,0.0,0.0,0.0,500.0,48.6,26.835,10.0,10.0,100.0
충주시,14500.0,60.30500000000001,2.0,1000.0,80.0,47.88,1.0,3.0,33.33333333333333
통영시,8000.0,48.16,1.0,866.6666666666666,40.55555555555556,39.857777777777784,9.0,10.0,90.0
파주시,0.0,0.0,0.0,950.0,55.9,25.189,10.0,10.0,100.0
평창군,4500.0,30.33,1.0,0.0,0.0,0.0,0.0,1.0,0.0
평택시,15500.0,36.6175,4.0,333.3333333333333,59.833333333333336,33.37,6.0,10.0,60.0
포항시 남구,10700.0,29.383333333333336,3.0,1785.7142857142858,51.42857142857143,32.79571428571428,7.0,10.0,70.0
포항시 북구,10000.0,81.36,1.0,1425.0,45.75,47.612500000000004,4.0,5.0,80.0
하남시,22450.0,43.332499999999996,4.0,1750.0,88.16666666666667,30.951666666666668,6.0,10.0,60.0
해남군,0.0,0.0,0.0,100.0,35.0,37.1,1.0,1.0,100.0
해운대구,29150.0,88.62333333333333,3.0,785.7142857142857,54.857142857142854,33.87428571428571,7.0,10.0,70.0
홍성군,6000.0,23.22,1.0,400.0,42.5,23.05333333333333,6.0,7.0,85.71428571428571
화성동탄구,19428.571428571428,45.16857142857143,7.0,666.6666666666666,55.0,20.87,3.0,10.0,30.0
화성만세구,4500.0,22.32,1.0,1533.3333333333333,55.77777777777778,39.85666666666666,9.0,10.0,90.0
화성병점구,12140.0,27.634999999999998,2.0,8461.25,37.875,35.0225,8.0,10.0,80.0
화성효행구,7720.0,39.68666666666667,3.0,400.0,39.714285714285715,23.514285714285712,7.0,10.0,70.0
화천군,14000.0,81.2,2.0,0.0,0.0,0.0,0.0,2.0,0.0
