sigungu_code,region_name,school,subway,hospital,cafe,academy,department,convenience,park,total_score,전세_평균보증금,전세_평균면적,전세_거래건수,월세_평균보증금,월세_평균월세,월세_평균면적,월세_거래건수,전체_거래건수
4372000000,충청북도 보은군,79,1,56,171,34,5,45,75,466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4373000000,충청북도 옥천군,325,98,2123,3090,2573,624,1060,759,10652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4374000000,충청북도 영동군,70,0,75,172,49,10,47,48,471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4374500000,충청북도 증평군,282,0,831,1626,1505,71,786,518,5619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4375000000,충청북도 진천군,188,21,277,748,502,28,531,297,2592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4376000000,충청북도 괴산군,137,0,128,359,162,14,201,139,1140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4377000000,충청북도 음성군,169,0,210,595,339,31,410,233,1987,8500.0,27.92,1.0,1328.571428571429,45.57142857142857,24.33142857142857,7.0,8.0
4380000000,충청북도 단양군,59,0,35,216,51,6,63,135,565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4413000000,충청남도 천안시,331,30,1133,2083,2520,315,1113,402,7927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4413100000,충청남도 천안시 동남구,276,24,1028,1839,2299,304,932,384,7086,5750.0,27.77,2.0,500.0,47.375,31.185,8.0,10.0
4413300000,충청남도 천안시 서북구,173,18,754,1313,1648,292,715,221,5134,19166.666666666668,67.19555555555556,9.0,2000.0,100.0,84.95,1.0,10.0
4415000000,충청남도 공주시,203,23,699,1564,2132,25,426,460,5532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4418000000,충청남도 보령시,105,0,154,360,197,24,182,86,1108,0.0,0.0,0.0,500.0,53.333333333333336,43.14666666666667,3.0,3.0
4420000000,충청남도 아산시,213,18,703,1290,1697,89,716,176,4902,15533.333333333334,47.70333333333334,3.0,814.2857142857143,49.57142857142857,29.51142857142857,7.0,10.0
4421000000,충청남도 서산시,141,1,269,674,448,29,328,206,2096,4500.0,18.03,1.0,700.0,52.888888888888886,28.808888888888887,9.0,10.0
4423000000,충청남도 논산시,123,38,250,447,299,38,173,121,1489,7000.0,26.12,1.0,1111.111111111111,46.11111111111112,28.116666666666667,9.0,10.0
4425000000,충청남도 계룡시,462,142,2822,4431,3927,648,1457,982,14871,0.0,0.0,0.0,500.0,44.8,38.994,5.0,5.0
4427000000,충청남도 당진시,137,1,252,582,435,25,358,152,1942,9000.0,62.790000000000006,2.0,937.5,56.375,44.3875,8.0,10.0
4471000000,충청남도 금산군,77,101,119,269,80,16,77,97,836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4476000000,충청남도 부여군,111,0,234,378,181,41,139,73,1157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
