dong_code,region_name,school,subway,hospital,cafe,total_score
2917010900,광주광역시 북구 운암동,57,18,512,700,1892
2917011000,광주광역시 북구 우산동,85,24,595,1145,2577
2917011100,광주광역시 북구 풍향동,89,36,722,1180,2910
2917011200,광주광역시 북구 문흥동,59,97,424,637,1894
2917011300,광주광역시 북구 각화동,43,92,279,339,1259
2917011400,광주광역시 북구 두암동,75,19,490,998,2185
2917011500,광주광역시 북구 오치동,12,94,75,100,556
2917011600,광주광역시 북구 삼각동,53,108,309,540,1588
2917011700,광주광역시 북구 매곡동,77,108,450,734,2112
2917011800,광주광역시 북구 충효동,3,66,0,19,223
2917011900,광주광역시 북구 덕의동,1,78,0,20,256
2917012000,광주광역시 북구 금곡동,313,71,0,2,841
2917012100,광주광역시 북구 망월동,6,85,26,43,362
2917012200,광주광역시 북구 청풍동,11,85,58,66,459
2917012300,광주광역시 북구 화암동,6,85,9,50,335
2917012400,광주광역시 북구 장등동,14,86,64,98,512
2917012500,광주광역시 북구 운정동,2,83,0,7,260
2917012600,광주광역시 북구 본촌동,34,101,191,309,1062
2917012700,광주광역시 북구 일곡동,45,108,261,388,1324
2917012800,광주광역시 북구 양산동,43,108,328,404,1470
2917012900,광주광역시 북구 연제동,58,112,440,577,1909
2917013000,광주광역시 북구 신용동,56,106,321,437,1509
2917013100,광주광역시 북구 용두동,34,106,292,384,1354
2917013200,광주광역시 북구 지야동,19,92,88,150,640
2917013300,광주광역시 북구 태령동,2,64,0,12,208
2917013400,광주광역시 북구 수곡동,2,76,0,11,243
2917013500,광주광역시 북구 효령동,5,81,0,20,273
2917013600,광주광역시 북구 용전동,6,79,8,48,313
2917013700,광주광역시 북구 용강동,5,66,0,24,232
