sigungu_code,region_name,school,subway,hospital,cafe,academy,department,convenience,culture,total_score,전세_평균보증금,전세_평균면적,전세_거래건수,월세_평균보증금,월세_평균월세,월세_평균면적,월세_거래건수,전체_거래건수
4128700000,경기도 고양시 일산서구,28,5,230,370,839,16,149,30,1667,29316.666666666668,64.515,6.0,7750.0,51.25,47.400000000000006,4.0,10.0
4129000000,경기도 과천시,12,3,83,151,182,4,45,27,507,55166.66666666666,79.01333333333334,3.0,7857.142857142857,106.0,34.401428571428575,7.0,10.0
4131000000,경기도 구리시,24,4,253,302,528,3,125,10,1249,15125.0,32.2175,4.0,757.6666666666666,49.16666666666666,24.92,6.0,10.0
4136000000,경기도 남양주시,7,1,30,45,79,1,27,4,194,28700.0,53.04,5.0,1700.0,65.2,29.188,5.0,10.0
4137000000,경기도 오산시,23,1,145,227,266,8,138,10,818,15125.0,40.075,4.0,916.6666666666666,49.0,21.25,6.0,10.0
4139000000,경기도 시흥시,18,2,82,149,276,7,66,4,604,13766.666666666666,28.72,3.0,842.8571428571429,45.85714285714285,25.865714285714287,7.0,10.0
4141000000,경기도 군포시,34,5,247,372,508,15,167,12,1360,19794.0,34.684000000000005,5.0,2300.0,54.6,32.67,5.0,10.0
4143000000,경기도 의왕시,13,1,53,121,114,7,59,7,375,7200.0,22.855,2.0,1987.5,42.0,25.1225,8.0,10.0
4146000000,경기도 용인시,8,4,44,142,193,4,55,9,459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4146100000,경기도 용인시 처인구,16,4,149,238,226,6,104,7,750,15700.0,33.82,1.0,1388.888888888889,51.44444444444444,22.112222222222226,9.0,10.0
4146300000,경기도 용인시 기흥구,23,4,142,205,356,11,98,10,849,28333.33333333333,76.10333333333334,3.0,2542.8571428571427,68.85714285714286,34.568571428571424,7.0,10.0
4146500000,경기도 용인시 수지구,37,5,339,421,1060,21,161,12,2056,25000.0,51.23,1.0,1273.7777777777778,61.333333333333336,22.19666666666667,9.0,10.0
4148000000,경기도 파주시,12,2,93,153,150,5,77,8,500,0.0,0.0,0.0,950.0,55.9,25.189,10.0,10.0
4150000000,경기도 이천시,6,1,115,153,138,6,77,13,509,11900.0,30.205,2.0,537.5,54.5,28.04125,8.0,10.0
4155000000,경기도 안성시,11,0,90,130,127,6,64,3,431,2500.0,15.0,1.0,305.55555555555554,34.666666666666664,18.725555555555555,9.0,10.0
4157000000,경기도 김포시,26,2,157,232,553,15,99,7,1091,15400.0,32.504999999999995,2.0,512.5,47.875,25.79375,8.0,10.0
4159000000,경기도 화성시,11,0,54,107,105,3,49,2,331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4161000000,경기도 광주시,6,0,27,85,132,1,47,4,302,0.0,0.0,0.0,1500.0,76.0,46.688,5.0,5.0
4163000000,경기도 양주시,2,1,0,21,0,1,7,0,32,11833.333333333334,28.51,3.0,100.0,66.0,18.61,1.0,4.0
4165000000,경기도 포천시,6,0,36,79,36,4,39,10,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4167000000,경기도 여주시,7,1,66,120,101,4,64,9,372,0.0,0.0,0.0,750.0,75.0,66.815,2.0,2.0
4180000000,경기도 연천군,3,1,4,15,6,1,7,6,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4182000000,경기도 가평군,3,1,20,52,40,3,23,5,147,0.0,0.0,0.0,1000.0,40.0,42.31,1.0,1.0
4183000000,경기도 양평군,6,1,58,87,91,4,41,7,295,13000.0,76.59,1.0,753.3333333333334,58.44444444444444,54.47222222222222,9.0,10.0
4311100000,충청북도 청주시 상당구,29,0,175,434,337,8,120,44,1147,9000.0,23.67,2.0,500.0,57.5,36.7525,4.0,6.0
4311000000,충청북도 청주시,29,0,171,425,253,5,115,47,1045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4311200000,충청북도 청주시 서원구,26,0,179,466,338,6,180,48,1243,12000.0,54.70333333333334,3.0,1057.142857142857,33.57142857142857,39.99857142857143,7.0,10.0
4311300000,충청북도 청주시 흥덕구,2,0,5,23,13,2,9,2,56,12450.0,41.8375,4.0,2750.0,42.16666666666666,33.59166666666667,6.0,10.0
4311400000,충청북도 청주시 청원구,25,0,148,400,220,4,128,44,969,14500.0,47.07,1.0,888.8888888888889,55.0,41.05222222222222,9.0,10.0
4313000000,충청북도 충주시,17,0,86,175,197,5,76,10,566,14500.0,60.30500000000001,2.0,1000.0,80.0,47.88,1.0,3.0
4315000000,충청북도 제천시,8,0,90,107,114,4,40,7,370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4372000000,충청북도 보은군,7,0,22,41,31,1,16,5,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4373000000,충청북도 옥천군,7,0,38,87,47,1,36,6,222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4374000000,충청북도 영동군,8,0,33,64,42,2,21,6,176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4374500000,충청북도 증평군,8,0,37,77,70,3,49,4,248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4375000000,충청북도 진천군,7,0,42,88,48,3,39,6,233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4376000000,충청북도 괴산군,4,0,14,23,20,1,20,6,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4377000000,충청북도 음성군,7,0,20,41,23,1,20,4,116,8500.0,27.92,1.0,1328.571428571429,45.57142857142857,24.33142857142857,7.0,8.0
4380000000,충청북도 단양군,4,0,10,57,21,2,14,10,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4413000000,충청남도 천안시,23,0,186,379,871,9,151,9,1628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4413100000,충청남도 천안시 동남구,27,2,188,405,283,11,212,20,1148,5750.0,27.77,2.0,500.0,47.375,31.185,8.0,10.0
4413300000,충청남도 천안시 서북구,2,1,15,26,34,3,23,1,105,19166.666666666668,67.19555555555556,9.0,2000.0,100.0,84.95,1.0,10.0
4415000000,충청남도 공주시,16,0,51,120,34,2,27,24,274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4418000000,충청남도 보령시,5,0,24,73,82,3,35,4,226,0.0,0.0,0.0,500.0,53.333333333333336,43.14666666666667,3.0,3.0
4420000000,충청남도 아산시,20,1,127,198,165,6,111,10,638,15533.333333333334,47.70333333333334,3.0,814.2857142857143,49.57142857142857,29.51142857142857,7.0,10.0
4421000000,충청남도 서산시,12,0,124,204,222,9,102,8,681,4500.0,18.03,1.0,700.0,52.888888888888886,28.808888888888887,9.0,10.0
4423000000,충청남도 논산시,17,0,34,130,115,4,61,10,371,7000.0,26.12,1.0,1111.111111111111,46.11111111111112,28.116666666666667,9.0,10.0
4425000000,충청남도 계룡시,7,0,35,77,117,4,24,5,269,0.0,0.0,0.0,500.0,44.8,38.994,5.0,5.0
4427000000,충청남도 당진시,10,0,100,188,192,8,77,9,584,9000.0,62.790000000000006,2.0,937.5,56.375,44.3875,8.0,10.0
4471000000,충청남도 금산군,9,0,43,66,37,4,24,13,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4476000000,충청남도 부여군,9,0,41,78,30,2,27,17,204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4477000000,충청남도 서천군,7,0,30,34,32,4,14,2,123,0.0,0.0,0.0,500.0,40.0,22.5,1.0,1.0
4479000000,충청남도 청양군,5,0,16,42,15,2,14,7,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4480000000,충청남도 홍성군,9,0,68,113,95,4,49,11,349,6000.0,23.22,1.0,400.0,42.5,23.05333333333333,6.0,7.0
4481000000,충청남도 예산군,8,0,49,76,63,3,34,5,238,0.0,0.0,0.0,380.0,43.8,27.444,5.0,5.0
4482500000,충청남도 태안군,6,0,37,71,45,4,32,5,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4159500000,경기도 화성시 병점구,6,1,42,85,102,7,64,5,312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4159700000,경기도 화성시 동탄구,25,1,153,271,721,13,90,9,1283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
