sigungu_code,region_name,school,subway,hospital,cafe,academy,department,convenience,culture,total_score
4679000000,전라남도 화순군,8,0,56,115,71,3,29,3,285
4680000000,전라남도 장흥군,6,0,29,46,24,2,19,8,134
4681000000,전라남도 강진군,8,0,26,50,26,2,18,7,137
4682000000,전라남도 해남군,6,0,40,65,69,4,32,7,223
4683000000,전라남도 영암군,5,0,15,17,18,3,10,10,78
4684000000,전라남도 무안군,5,0,23,39,15,3,15,4,104
4686000000,전라남도 함평군,6,0,15,33,11,4,8,11,88
4687000000,전라남도 영광군,8,0,48,53,56,2,26,6,199
4688000000,전라남도 장성군,7,0,19,42,25,3,14,3,113
4689000000,전라남도 완도군,6,0,21,51,37,2,28,3,148
4690000000,전라남도 진도군,4,0,17,46,19,1,16,10,113
4691000000,전라남도 신안군,1,0,0,2,0,1,0,1,5
4711000000,경상북도 포항시,24,0,149,310,360,6,103,12,964
4711100000,경상북도 포항시 남구,16,0,118,240,156,4,92,11,637
4711300000,경상북도 포항시 북구,21,0,133,287,232,5,86,18,782
4713000000,경상북도 경주시,18,0,113,275,279,5,88,14,792
4715000000,경상북도 김천시,11,0,50,97,65,4,46,4,277
4717000000,경상북도 안동시,18,0,79,177,123,1,44,17,459
4719000000,경상북도 구미시,18,1,140,222,288,4,94,11,778
4721000000,경상북도 영주시,8,0,39,78,150,5,42,3,325
4723000000,경상북도 영천시,10,0,73,117,123,5,41,7,376
4725000000,경상북도 상주시,11,0,68,131,168,3,43,10,434
4728000000,경상북도 문경시,11,0,45,93,74,4,31,11,269
4729000000,경상북도 경산시,18,4,166,316,380,5,118,18,1025
4773000000,경상북도 의성군,8,0,19,46,24,1,11,4,113
4775000000,경상북도 청송군,5,0,3,25,7,1,4,2,47
4776000000,경상북도 영양군,6,0,2,22,8,1,6,2,47
4777000000,경상북도 영덕군,5,0,16,39,18,3,9,1,91
4782000000,경상북도 청도군,6,0,25,47,33,3,12,2,128
4783000000,경상북도 고령군,3,0,19,41,22,0,9,11,105
4784000000,경상북도 성주군,5,0,30,43,25,3,19,8,133
4785000000,경상북도 칠곡군,9,1,42,81,66,4,30,6,239
4790000000,경상북도 예천군,9,0,22,36,33,4,14,3,121
4792000000,경상북도 봉화군,6,0,10,21,14,1,5,5,62
4793000000,경상북도 울진군,4,0,14,39,50,3,14,4,128
4794000000,경상북도 울릉군,4,0,1,21,2,2,7,6,43
4812000000,경상남도 창원시,33,0,226,473,514,13,146,32,1437
4812100000,경상남도 창원시 의창구,20,0,97,219,307,4,95,9,751
4812300000,경상남도 창원시 성산구,16,0,69,123,292,9,66,0,575
4812500000,경상남도 창원시 마산합포구,19,0,109,239,201,5,88,25,686
4812700000,경상남도 창원시 마산회원구,26,0,157,330,384,11,123,22,1053
4812900000,경상남도 창원시 진해구,6,0,26,70,123,3,26,1,255
1171000000,서울특별시 송파구,36,13,594,797,1127,23,219,54,2863
