region_name,전세_평균보증금,전세_평균면적,전세_거래건수,월세_평균보증금,월세_평균월세,월세_평균면적,월세_거래건수,전체_거래건수
서울특별시 동대문구,28250.0,37.849999999999994,4.0,15174.833333333334,44.5,34.571666666666665,6.0,10.0
서울특별시 동작구,18600.0,28.14,2.0,7875.0,45.375,22.75125,8.0,10.0
서울특별시 마포구,0.0,0.0,0.0,4370.0,56.2,21.46,10.0,10.0
서울특별시 서대문구,0.0,0.0,0.0,3345.0,86.7,29.957,10.0,10.0
서울특별시 서초구,24650.0,26.694999999999997,6.0,10400.0,49.75,25.2175,4.0,10.0
서울특별시 성동구,24600.0,18.32,2.0,3331.25,79.375,27.7775,8.0,10.0
서울특별시 성북구,40000.0,90.75,1.0,2444.4444444444443,75.77777777777777,26.95888888888889,9.0,10.0
서울특별시 송파구,30525.0,33.76166666666666,6.0,3750.0,137.25,45.5625,4.0,10.0
서울특별시 양천구,52666.666666666664,69.57333333333334,3.0,8142.857142857143,142.14285714285714,62.87,7.0,10.0
서울특별시 영등포구,32762.0,51.03,5.0,18300.0,37.4,32.512,5.0,10.0
서울특별시 용산구,43000.0,39.06333333333333,3.0,4471.428571428572,102.71428571428571,24.287142857142857,7.0,10.0
서울특별시 은평구,22000.0,44.7,1.0,3666.6666666666665,50.44444444444444,21.813333333333333,9.0,10.0
서울특별시 종로구,20275.0,21.7175,4.0,2977.6666666666665,52.0,24.906666666666666,6.0,10.0
서울특별시 중구,35500.0,42.415,2.0,3550.0,84.0,28.79875,8.0,10.0
서울특별시 중랑구,24625.0,54.7875,4.0,2666.6666666666665,67.0,35.29333333333333,6.0,10.0
울산광역시 남구,16325.0,55.629999999999995,4.0,716.6666666666666,53.833333333333336,33.49,6.0,10.0
울산광역시 동구,16500.0,55.76,2.0,3562.5,55.0,63.7275,8.0,10.0
울산광역시 북구,8500.0,158.0,1.0,350.0,52.5,87.22,2.0,3.0
울산광역시 울주군,7750.0,22.91,2.0,550.0,42.875,34.644999999999996,8.0,10.0
울산광역시 중구,10600.0,31.75,2.0,675.0,48.375,26.75625,8.0,10.0
인천광역시 강화군,0.0,0.0,0.0,1000.0,40.0,28.13,2.0,2.0
인천광역시 계양구,0.0,0.0,0.0,490.0,40.4,31.124000000000002,10.0,10.0
인천광역시 남동구,13275.0,50.4375,4.0,1133.3333333333333,56.833333333333336,28.338333333333335,6.0,10.0
인천광역시 동구,13066.666666666666,64.11333333333333,3.0,2714.285714285714,50.142857142857146,23.487142857142857,7.0,10.0
인천광역시 미추홀구,8000.0,20.74,1.0,866.6666666666666,58.0,38.70444444444445,9.0,10.0
인천광역시 부평구,15750.0,78.93,1.0,1332.5555555555557,61.55555555555556,47.99888888888889,9.0,10.0
인천광역시 서구,20750.0,56.4275,4.0,1666.6666666666667,70.83333333333333,53.305,6.0,10.0
인천광역시 연수구,17800.0,52.4125,8.0,1600.0,92.5,57.415,2.0,10.0
인천광역시 중구,10830.0,23.336666666666662,3.0,764.2857142857143,57.57142857142857,27.678571428571427,7.0,10.0
전라남도 고흥군,10000.0,177.51,1.0,950.0,40.0,25.285,2.0,3.0
전라남도 나주시,7000.0,28.42,1.0,622.2222222222222,39.111111111111114,28.511111111111113,9.0,10.0
전라남도 목포시,4000.0,41.43,1.0,268.8888888888889,30.77777777777778,29.75,9.0,10.0
전라남도 무안군,11431.25,59.1875,8.0,400.0,37.5,32.255,2.0,10.0
전라남도 순천시,0.0,0.0,0.0,883.3333333333334,29.5,35.32666666666667,6.0,6.0
전라남도 여수시,0.0,0.0,0.0,520.0,52.9,35.705,10.0,10.0
전라남도 영광군,0.0,0.0,0.0,500.0,46.0,28.02,1.0,1.0
전라남도 완도군,0.0,0.0,0.0,300.0,40.0,29.25,1.0,1.0
전라남도 장성군,0.0,0.0,0.0,1000.0,30.0,62.41,1.0,1.0
전라남도 해남군,0.0,0.0,0.0,100.0,35.0,37.1,1.0,1.0
제주특별자치도 서귀포시,14775.0,57.705,2.0,587.5,58.375,34.54625,8.0,10.0
제주특별자치도 제주시,11500.0,45.675,2.0,350.0,47.625,35.16375,8.0,10.0
충청남도 계룡시,0.0,0.0,0.0,500.0,44.8,38.994,5.0,5.0
충청남도 논산시,7000.0,26.12,1.0,1111.111111111111,46.111111111111114,28.116666666666667,9.0,10.0
충청남도 당진시,9000.0,62.790000000000006,2.0,937.5,56.375,44.3875,8.0,10.0
충청남도 보령시,0.0,0.0,0.0,500.0,53.333333333333336,43.14666666666667,3.0,3.0
충청남도 서산시,4500.0,18.03,1.0,700.0,52.888888888888886,28.808888888888887,9.0,10.0
충청남도 서천군,0.0,0.0,0.0,500.0,40.0,22.5,1.0,1.0
충청남도 아산시,15533.333333333334,47.70333333333334,3.0,814.2857142857143,49.57142857142857,29.51142857142857,7.0,10.0
충청남도 예산군,0.0,0.0,0.0,380.0,43.8,27.444,5.0,5.0
충청남도 천안시 동남구,5750.0,27.77,2.0,500.0,47.375,31.185,8.0,10.0
충청남도 천안시 서북구,19166.666666666668,67.19555555555556,9.0,2000.0,100.0,84.95,1.0,10.0
충청남도 홍성군,6000.0,23.22,1.0,400.0,42.5,23.05333333333333,6.0,7.0
충청북도 음성군,8500.0,27.92,1.0,1328.5714285714287,45.57142857142857,24.33142857142857,7.0,8.0
충청북도 청주시 상당구,9000.0,23.67,2.0,500.0,57.5,36.7525,4.0,6.0
충청북도 청주시 서원구,12000.0,54.70333333333334,3.0,1057.142857142857,33.57142857142857,39.99857142857143,7.0,10.0
충청북도 청주시 청원구,14500.0,47.07,1.0,888.8888888888889,55.0,41.05222222222222,9.0,10.0
충청북도 청주시 흥덕구,12450.0,41.8375,4.0,2750.0,42.166666666666664,33.59166666666667,6.0,10.0
충청북도 충주시,14500.0,60.30500000000001,2.0,1000.0,80.0,47.88,1.0,3.0
